authors_name,published_time,articles_title,publication_hubs
arturdumchev,3 минуты назад,Один выгоревший сеньор или два джуна с горящими глазами?,Веб-разработка; ; Карьера в IT-индустрии; Программирование; ; Управление персоналом; ; Управление разработкой;
Sebastian_Brost,3 минуты назад,Фишинг «для своих»: нюансы организации учебных рассылок,Блог компании Бастион; Информационная безопасность; ; Тестирование IT-систем; ; IT-компании
MaxRokatansky,11 минут назад,Architecture as Code: моделируем архитектуру предприятия в ArchiMate,Блог компании OTUS; Анализ и проектирование систем;
alena_bobrova,16 минут назад,Обработка ошибок Axios,Блог компании Райффайзен Банк; JavaScript; ; ReactJS; ; TypeScript; ; Веб-разработка;
olegantipovDDG,19 минут назад,"Уильям Гибсон: киберпанк-пророк, предсказавший наш мир",Блог компании DDoS-Guard; Читальный зал; Научная фантастика; История IT; Научно-популярное
ChatApp1,25 минут назад,Кейс: как создать Email бота? Или как использовать Программатор в Конструкторе ботов ChatApp?,Бизнес-модели; ; Визуальное программирование; ; Мессенджеры; ; Программирование; ; Управление продуктом;
Vlad_pan,29 минут назад,Как подорвать доверие инвестора: 11 способов как не получить инвестиций,Венчурные инвестиции; Финансы в IT
websanya,38 минут назад,Микрофронтенды: зачем дробить фронтенд и почему это может быть хорошо,Блог компании Конференции Олега Бунина (Онтико); Блог компании Usetech; Управление разработкой; ; Микросервисы; ; Веб-разработка;
DariaShulgina,41 минуту назад,Закат удалёнки: почему сотрудников возвращают в офис,Карьера в IT-индустрии; Удалённая работа
AI-SHA,45 минут назад,Рейтинги языков программирования: что за ними скрывается?,Блог компании Криптонит; Программирование; ; Java; ; Python; ; TypeScript;
melnik909,45 минут назад,Вы не знаете CSS. Мои вопросы о CSS с ответами,Блог компании RUVDS.com; CSS; ; Веб-разработка;
Volokhovskii,1 час назад,"Поиск потенциальных уязвимостей в коде, часть 2: практика",Блог компании PVS-Studio; Компиляторы; ; Информационная безопасность; ; Тестирование IT-систем; ; Java;
Xcom-shop,1 час назад,"NVIDIA, Samsung, Micron и SK Nynix делают память будущего SOCAMM с большим потенциалом для ИИ",Блог компании Группа компаний X-Com; Компьютерное железо; Искусственный интеллект
Markus_automation,1 час назад,Что такое резидентные прокси и как они работают: подробное руководство для начинающих,Терминология IT
SergeevaConsult,1 час назад,Топ-5 платформ для онлайн-школы: обзор фичей и функций,Управление продуктом; ; IT-инфраструктура; ; Интернет-маркетинг;
thenonsense,1 час назад,Handpaint 3d-модели своими силами,Работа с 3D-графикой; ; Прототипирование; ; Графический дизайн; ; Godot;
SolarSecurity,1 час назад,От идеи до реализации: как мы создали универсальный Плеер 4D в Solar Dozor 8.0,Блог компании Солар
oidono,1 час назад,Искусственный интеллект без иллюзий: от модных трендов к реальным решениям,Блог компании Ингосстрах; Искусственный интеллект; Машинное обучение;
Alex-1988,1 час назад,Миграция данных Cassandra с помощью Cassandra Data Migrator,Блог компании Цифра; Администрирование баз данных; ; Apache;
Lexus08,1 час назад,Что внутри офисного ноутбука Ninkear A15 Plus? Разборка и тест модели на базе AMD Ryzen 7-5825U,Ноутбуки
aio350,только что,Способы разделения длительных задач в JavaScript,Блог компании Timeweb Cloud; JavaScript; ; Веб-разработка; ; Высокая производительность;
devmark,только что,Как сделать Telegram-бота умнее: пошаговый гайд на Spring AI и Kotlin,Блог компании Dockhost; Kotlin; ; Java; ; Программирование;
michabramov,только что,Получение SMS через SMPP Exolve на ESP8266,Блог компании Exolve; API; ; Программирование микроконтроллеров; ; Разработка для интернета вещей; ; C++;
NICtech,только что,"Уничтожаем камеру видеонаблюдения РУВЕР: ИК-прожектор, УФ-лампа, фонарь и электрошокер",Видеотехника; Фототехника; Производство и разработка электроники; ; Физика; Информационная безопасность;
ta2024,только что,"Как после триумфального старта на маркетплейсе избежать падения прибыли? Перезапуск магазина в 7,5 раз увеличил доход",Блог компании МАКО DIGITAL; Интернет-маркетинг; ; Повышение конверсии; ; Управление продажами; ; Управление e-commerce;
SLY_G,только что,Дайджест космических новостей за прошедшую неделю,Научно-популярное; Астрономия
lesovsky,только что,Знакомство с PPEM 2,Блог компании Postgres Professional; PostgreSQL; ; Администрирование баз данных;
stepanovdandcorpinfosys,только что,Корпоративные информационные системы и ГОСТы,Анализ и проектирование систем; ; ERP-системы; ; Управление проектами; ; Управление продуктом; ; Управление разработкой;
TheSkull,только что,Пример паттерна Прототип в Unreal Engine,Разработка игр; ; C++; ; Unreal Engine; ; Программирование;
VASExperts,только что,Еще один RTP — можно ли [и нужно ли] заменить HTTP,Блог компании VAS Experts; IT-стандарты; ; Разработка систем связи;
BiktorSergeev,только что,"MicroLED: будущее дисплеев, которое все никак не станет настоящим. В чем проблема?",Блог компании МТС; Производство и разработка электроники; ; Исследования и прогнозы в IT;
kubelet,только что,Как сделать своё хранилище образов контейнеров,Блог компании Флант; DevOps; ; Kubernetes; ; IT-инфраструктура; ; Системное администрирование;
ira-k,только что,Погружение в Django: 8 полезных ссылок,Блог компании Яндекс Практикум; Python; ; Программирование; ; Учебный процесс в IT
vasilisa_b,только что,Подключайтесь к электростанции через рельс: толщина рельса гарантирует стабильность соединения,Блог компании Газпромбанк; Научно-популярное
RationalAnswer,только что,Скандал вокруг цензуры Grok 3: как Илон Маск пытается вколотить в свое детище «любовь к бате»,Искусственный интеллект; Машинное обучение; ; Социальные сети и сообщества
eimrine,только что,"Математика, нужна ли ты программисту?",Математика;
PaskalEnotov,только что,Я нашел золотую жилу в кабине грузовика. Сейчас продаю на 340 млн в год,Блог компании МойСклад; Бизнес-модели; ; Развитие стартапа
andbout,только что,"Встречаем YandexGPT 5 — в Алисе, облаке и опенсорсе",Блог компании Яндекс; Блог компании Yandex Cloud & Yandex Infrastructure; Машинное обучение; ; Искусственный интеллект; Open source;
MisterClever,только что,Прорыв в изучении птичьего гриппа — хорошая новость для людей,Научно-популярное; Биотехнологии; Здоровье
Chumikov,только что,"Почему командная строка всё ещё актуальна или 5 примеров, как PowerShell может сэкономить вам часы работы",PowerShell; ; Лайфхаки для гиков; Разработка под Windows;
Chumikov,только что,"Почему командная строка всё ещё актуальна или 5 примеров, как PowerShell может сэкономить вам часы работы",PowerShell; ; Лайфхаки для гиков; Разработка под Windows;
PatientZero,только что,Составляем из четырёх двоек любое целое число,Математика; ; Научно-популярное; Занимательные задачки
tw0face,только что,"Подготовка к собеседованиям по frontend-разработке, API для транскрибации речи – и еще 8 российских стартапов",Блог компании Product Radar; Развитие стартапа; Венчурные инвестиции; Монетизация веб-сервисов; ; Бизнес-модели;
Shtish,только что,ISE 2025: Разбираем по косточкам новинки ProAV – что стоит вашего внимания (и бюджета),Блог компании Smart-AV Мультимедиа; Видеоконференцсвязь; Видеотехника; Звук; Будущее здесь
Canyon8,только что,CPTS – как стать хакером с нуля,Блог компании T.Hunter; Информационная безопасность; ; Учебный процесс в IT
aimfirst,только что,Апокриф Agile,Блог компании ГК ЛАНИТ; Управление проектами; ; Управление разработкой; ; Agile;
rukhi7,только что,"Предел Шеннона. Математика компромиссов. Пушкин и Толстой это конечно наша гордость, но считать-то тоже надо учиться",Разработка систем связи; ; Программирование; ; Математика;
broadcastination,только что,SpringBoot Starter Telegram Mapping для вашего бота,Java;
Gershman,только что,Эффекты применения ИИ,Искусственный интеллект
neuromancertdi,3 часа назад,Глубокое обучение: Слой линейного преобразования и полносвязная нейросеть. Теория и реализация на самодельном autograd,Машинное обучение; ; Алгоритмы; ; Программирование;
suregood,5 часов назад,Вы нам подходите: как составлять резюме и проходить интервью,Блог компании МосТрансПроект; Управление разработкой; ; Карьера в IT-индустрии
Kaspersky_Lab,6 часов назад,Security Week 2509: компьютерные игры с вредоносным кодом,Блог компании «Лаборатория Касперского»; Информационная безопасность;
faddeyJT,7 часов назад,Ликвидность на рынках: что это такое и почему это будет важно всегда,Криптовалюты
NSergeeva,7 часов назад,"Как создавать мультиязычное ПО: подходы к локализации интерфейса и практики, проверенные временем",Интерфейсы; ; Локализация продуктов; ; Управление проектами; ; Управление продуктом; ; Дизайн
kasyanenko,7 часов назад,Путеводитель по изучению игровой индустрии,Разработка игр;
Redfern89,10 часов назад,Сборка Kali Linux для Orange PI PC (armhf),Настройка Linux;
noderabo,11 часов назад,Все по полочкам: как мы внедряли методологию управления проектами P3.express,Блог компании Doubletapp; Управление проектами; ; Управление продуктом; ; Управление разработкой;
ne555,11 часов назад,С корабля на бал. Кроссконтинентальный заплыв из Азии в Европу (анализ данных в комплекте),Читальный зал; Здоровье
WersaT,11 часов назад,Автоматизированное тестирование с помощью Selenium,Блог компании АО «ГНИВЦ»
Mixailkys,12 часов назад,Искусственный интеллект в ритейле: как он предсказывает вашу следующую покупку в приложении,Блог компании X5 Tech; IT-компании; Искусственный интеллект; Математика; ; Машинное обучение;
Mixailkys,12 часов назад,Искусственный интеллект в ритейле: как он предсказывает вашу следующую покупку в приложении,Блог компании X5 Tech; IT-компании; Искусственный интеллект; Математика; ; Машинное обучение;
it-for-kids,12 часов назад,Компьютерная секция для детей: где обучаться программированию?,Блог компании IT для детей
MaxRokatansky,12 часов назад,Детальный обзор MiSide,Блог компании OTUS; Дизайн игр; ; Разработка игр;
SimpleOne_it,12 часов назад,Большой обзор Low-code платформы SimpleOne,Блог компании SimpleOne; IT-компании; IT-инфраструктура; ; Разработка облачных платформ
slava_rumin,12 часов назад,"На моем производстве сотрудников чипируют, держат в холоде, ну и доят, конечно",Лайфхаки для гиков; Бизнес-модели; ; Развитие стартапа; Интервью
Surf_Studio,13 часов назад,Как оживает смартфон: Android на старте,Блог компании Surf; Разработка под Android; ; Разработка мобильных приложений;
it-for-kids,13 часов назад,Компьютерный кружок для детей: рейтинг онлайн-школ,Блог компании IT для детей
snowmage,13 часов назад,Laravel 12. Что нового?,Laravel; ; PHP; ; Веб-разработка;
dmitr3mart,13 часов назад,"Airsim умер, да здравствует GRID",Будущее здесь; Искусственный интеллект; Транспорт; Робототехника
ru_vds,13 часов назад,Стиральная машина позволила мне иначе взглянуть на сроки разработки ПО,Блог компании RUVDS.com; Программирование; ; Управление продуктом; ; Управление проектами; ; Управление разработкой;
victorsizov,13 часов назад,"База об организации процесса разметки: команда, онбординг, метрики",Блог компании Альфа-Банк; Машинное обучение; ; Big Data;
sokolovps,13 часов назад,"Вот тебе, Илон, и Юрьев день: как мы стали крепостными миллиардеров или теория технофеодализма Яниса Варуфакиса",Блог компании Online patent; Бизнес-модели; ; IT-компании; Будущее здесь
Fabrichkin,13 часов назад,Как государства финансируют геймдев и есть ли у этого будущее?,Разработка игр; ; Игры и игровые консоли; Финансы в IT
